seconds_after_operational,left_raw_i16,right_raw_i16,status_hex
38.080993,0,-807,14211421
38.130944,0,-709,14211421
38.180890,0,-612,14211421
38.230840,0,-518,14211421
38.280787,0,-428,14211421
38.330734,0,-338,14211421
38.380685,0,-174,14211421
38.430636,0,-206,14211421
38.480578,0,-654,14211421
38.530528,-1,-823,14211421
38.580477,1,-835,14211421
38.630428,0,-753,14211421
38.680434,0,-658,14211421
38.730386,0,-566,14211421
38.780332,0,-472,14211421
38.830275,0,-379,14211421
38.880225,0,-290,14211421
38.930178,0,-172,14211421
38.980125,0,-228,14211421
39.030069,0,-614,14211421
39.080017,0,-852,14211421
39.129966,0,-826,14211421
39.179915,0,-730,14211421
39.229861,0,-631,14211421
39.279811,0,-536,14211421
39.329759,0,-443,14211421
39.379707,0,-352,14211421
39.429656,0,-258,14211421
39.479605,0,-147,14211421
39.529552,0,-142,14211421
39.579500,0,-408,14211421
39.629447,0,-663,14211421
39.679398,0,-727,14211421
39.729347,0,-649,14211421
39.779290,0,-557,14211421
39.829242,0,-470,14211421
39.879190,0,-382,14211421
39.929195,0,-291,14211421
39.979147,0,-200,14211421
40.029095,0,-82,14211421
40.079047,0,-254,14211421
40.128991,0,-532,14211421
40.178942,0,-732,14211421
40.228949,0,-755,14211421
40.278959,0,-663,14211421
40.328971,0,-566,14211421
40.378983,0,-470,14211421
40.428989,0,-374,14211421
40.479001,0,-282,14211421
40.529013,0,-156,14211421
40.579023,0,-108,14211421
40.629036,0,-405,14211421
40.679048,0,-703,14211421
40.729052,0,-792,14211421
40.779065,0,-724,14211421
40.829073,0,-631,14211421
40.879084,0,-541,14211421
40.929094,0,-452,14211421
40.979105,0,-365,14211421
41.029114,0,-277,14211421
41.079128,0,-186,14211421
41.129137,0,-108,14211421
41.179096,0,-23,14211421
41.229112,0,24,14211421
41.279177,0,-4,14211421
41.329181,0,5,14211421
41.379194,0,-4,14211421
41.429202,0,-105,14211421
41.479214,0,-370,14211421
41.529220,0,-796,14211421
41.579233,0,-951,14211421
41.629244,4,-876,14211421
41.679254,0,-779,14211421
41.729265,0,-678,14211421
41.779271,0,-581,14211421
41.829287,0,-484,14211421
41.879300,0,-387,14211421
41.929308,0,-289,14211421
41.979317,0,-205,14211421
42.029331,0,-97,14211421
42.079338,0,15,14211421
42.129352,0,28,14211421
42.179365,0,3,14211421
42.229370,0,-10,14211421
42.279386,0,-133,14211421
42.329389,0,-488,14211421
42.379396,0,-798,14211421
42.429413,0,-895,14211421
42.479418,0,-812,14211421
42.529431,0,-716,14211421
42.579443,0,-627,14211421
42.629450,0,-535,14211421
42.679466,0,-447,14211421
42.729474,0,-359,14211421
42.779486,0,-273,14211421
42.829497,0,-189,14211421
42.879501,0,-102,14211421
42.929516,0,-9,14211421
42.979526,0,20,14211421
43.029535,0,-2,14211421
43.079549,0,0,14211421
43.129555,0,-17,14211421
43.179570,0,-146,14211421
43.229579,0,-398,14211421
43.279587,0,-614,14211421
43.329601,0,-786,14211421
43.379608,0,-754,14211421
43.429623,0,-657,14211421
43.479633,0,-561,14211421
43.529641,0,-465,14211421
43.579651,0,-370,14211421
43.629659,0,-277,14211421
43.679676,0,-177,14211421
43.729682,0,-66,14211421
43.779689,0,-30,14211421
43.829705,0,-14,14211421
43.879715,0,6,14211421
43.929728,0,-21,14211421
43.979791,0,-88,14211421
44.029688,0,-207,14211421
44.079638,0,-412,14211421
44.129648,0,-714,14211421
44.179651,0,-845,14211421
44.229665,0,-774,14211421
44.279677,0,-679,14211421
44.329686,0,-589,14211421
44.379708,0,-497,14211421
44.429769,0,-408,14211421
44.479778,0,-323,14211421
44.529792,0,-240,14211421
44.579801,0,-144,14211421
44.629814,0,-81,14211421
44.679824,0,-5,14211421
44.729834,0,20,14211421
44.779841,0,-31,14211421
44.829857,0,-143,14211421
44.879864,0,-313,14211421
44.929875,0,-524,14211421
44.979884,0,-713,14211421
45.029898,0,-666,14211421
45.079905,0,-574,14211421
45.129917,0,-479,14211421
45.179928,0,-384,14211421
45.229938,0,-289,14211421
45.279950,0,-192,14211421
45.329958,0,-112,14211421
45.379972,0,1,14211421
45.429981,0,29,14211421
45.479989,0,-3,14211421
45.530006,0,9,14211421
45.580011,0,-37,14211421
45.630020,0,-108,14211421
45.680034,0,-220,14211421
45.730043,0,-414,14211421
45.780053,0,-641,14211421
45.830062,0,-755,14211421
45.880074,0,-695,14211421
45.930086,0,-600,14211421
45.980095,0,-504,14211421
46.030103,0,-411,14211421
46.080117,0,-320,14211421
46.130130,0,-237,14211421
46.180138,0,-134,14211421
46.230144,0,-59,14211421
46.280156,0,-37,14211421
46.330171,0,7,14211421
46.380175,0,-59,14211421
46.430189,0,-209,14211421
46.480200,0,-389,14211421
46.530210,0,-660,14211421
46.580222,0,-794,14211421
46.630229,0,-724,14211421
46.680239,0,-635,14211421
46.730248,0,-540,14211421
46.780264,0,-448,14211421
46.830270,0,-355,14211421
46.880281,0,-270,14211421
46.930291,0,-180,14211421
46.980303,0,-103,14211421
47.030319,0,3,14211421
47.080324,0,21,14211421
47.130334,0,-7,14211421
47.180342,0,-50,14211421
47.230355,0,-147,14211421
47.280363,0,-331,14211421
47.330372,0,-569,14211421
47.380387,0,-716,14211421
47.430398,0,-704,14211421
47.480408,0,-609,14211421
47.530419,0,-512,14211421
47.580427,0,-418,14211421
47.630437,0,-324,14211421
47.680450,0,-225,14211421
47.730463,0,-141,14211421
47.780467,0,-39,14211421
47.830487,0,22,14211421
47.880493,0,-10,14211421
47.930503,0,-5,14211421
47.980512,0,-77,14211421
48.030526,0,-249,14211421
